,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
165,785432,1.0,True,Centrum-Oost,52.36856,4.89896,Entire home/apt,4,2.0,3.0,4,200.0,2,1124,True,2,7,4.77,True,50.0,400.0,0.09,0.17,0.18,4.99,,
166,794322,1.0,True,Centrum-Oost,52.37048,4.90385,Private room,2,1.0,1.0,4,161.0,1,1125,True,4,3,4.75,False,80.5,161.0,0.08,0.24,0.22,4.99,,
167,800723,0.0,False,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,4,2.0,2.0,5,150.0,4,14,True,0,0,4.83,False,37.5,600.0,0.07,0.17,0.17,4.99,0.005479452054794521,750.0
168,801544,0.3400000000000001,False,De Pijp - Rivierenbuurt,52.35205,4.90267,Entire home/apt,3,2.0,2.0,8,160.0,2,1124,True,0,0,4.55,False,53.33,320.0,0.07,0.13,0.1,4.99,,
169,802052,0.72,True,Centrum-Oost,52.36476,4.90925,Private room,2,1.0,1.0,8,135.0,1,30,True,0,13,4.93,False,67.5,135.0,0.06,0.2,0.15,4.99,,
170,805330,0.0,False,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,6,3.0,2.0,13,249.0,4,21,True,0,1,4.93,False,41.5,996.0,0.12,0.16,0.17,4.99,0.030136986301369864,1275.13698630137
171,816940,0.5900000000000001,False,Zuid,52.35323,4.85421,Entire home/apt,2,1.0,1.0,11,200.0,5,7,True,0,0,4.73,False,100.0,1000.0,0.1,0.23,0.18,4.99,0.021917808219178082,1000.0
172,818085,0.8799999999999999,True,Centrum-West,52.3767,4.8919,Private room,2,1.0,1.0,3,167.0,2,28,True,0,6,4.83,False,83.5,334.0,0.07,0.2,0.19,4.99,0.2410958904109589,912.0958904109589
173,818881,0.62,False,Centrum-Oost,52.36123,4.89619,Entire home/apt,2,1.0,1.0,8,122.0,7,60,True,2,0,4.69,False,61.0,854.0,0.06,0.15,0.18,4.99,0.46301369863013697,698.2739726027397
174,834233,0.64,False,Centrum-Oost,52.37272,4.90418,Private room,2,1.0,2.0,1,125.0,3,28,True,0,4,4.88,False,62.5,375.0,0.07,0.16,0.18,4.99,0.3835616438356164,634.5616438356165
175,835627,0.42000000000000004,False,Centrum-Oost,52.36899,4.91607,Entire home/apt,4,2.0,3.0,14,180.0,4,13,True,0,0,5.0,False,45.0,720.0,0.07,0.2,0.18,4.99,0.0,900.0
176,847093,0.46,False,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,4,2.0,5.0,8,150.0,4,1125,True,0,0,4.73,False,37.5,600.0,0.07,0.18,0.18,4.99,0.0136986301369863,803.082191780822
177,851044,0.7,False,Zuid,52.34025,4.8466,Entire home/apt,4,2.0,2.0,7,151.0,1,30,True,0,8,4.76,True,37.75,151.0,0.07,0.12,0.2,4.99,,
178,854328,1.0,True,De Baarsjes - Oud-West,52.37262,4.87342,Entire home/apt,4,2.0,3.0,11,250.0,7,180,True,4,3,4.82,False,62.5,1750.0,0.07,0.19,0.29,4.99,0.1232876712328767,1496.1780821917807
179,862411,0.0,False,Centrum-West,52.38139,4.88541,Entire home/apt,2,1.0,1.0,5,180.0,93,365,True,29,0,4.9,False,90.0,16740.0,0.08,0.17,0.18,4.99,0.9972602739726028,900.0
180,865328,1.0,True,Zuid,52.35584,4.87401,Private room,4,1.0,3.0,3,140.0,2,35,True,0,3,4.94,False,35.0,280.0,0.08,0.15,0.17,4.99,,
181,874076,0.62,False,Centrum-Oost,52.361362,4.890488,Private room,2,1.0,1.0,3,139.0,2,50,True,4,1,4.98,False,69.5,278.0,0.07,0.16,0.16,4.99,,
182,874340,1.0,False,Noord-West,52.42379,4.88851,Private room,2,1.0,2.0,5,88.0,3,60,True,3,0,4.57,True,44.0,264.0,0.07,0.1,0.17,4.99,0.736986301369863,433.1095890410959
183,874688,0.24,False,Oud-Oost,52.35894,4.91171,Entire home/apt,6,3.0,8.0,15,359.0,4,360,True,0,0,4.78,False,59.83,1436.0,0.06,0.17,0.23,4.99,0.7013698630136986,1768.150684931507
184,877702,0.99,False,Centrum-Oost,52.36049,4.88982,Private room,2,1.0,2.0,7,170.0,2,40,True,0,0,4.98,False,85.0,340.0,0.07,0.19,0.19,4.99,,
185,879986,0.8200000000000001,False,De Pijp - Rivierenbuurt,52.3418,4.91066,Private room,3,1.0,2.0,7,109.0,5,1125,True,3,4,4.71,True,36.33,545.0,0.05,0.12,0.19,4.99,0.6465753424657534,535.9589041095891
186,884329,0.99,True,De Aker - Nieuw Sloten,52.343079,4.788886,Private room,2,1.0,1.0,4,147.0,2,80,True,4,6,4.92,True,73.5,294.0,0.06,0.14,0.16,4.99,,
187,886192,0.86,False,Noord-Oost,52.38462,5.01234,Entire home/apt,4,2.0,3.0,10,105.0,3,1125,True,21,0,4.68,False,26.25,315.0,0.06,0.11,0.17,4.99,0.40821917808219177,566.0958904109589
188,890288,0.39999999999999997,True,Zuid,52.35637,4.85373,Entire home/apt,4,2.0,2.0,14,350.0,2,30,True,0,1,4.88,False,87.5,700.0,0.11,0.23,0.25,4.99,,
189,890355,1.0,False,Westerpark,52.38875,4.87835,Entire home/apt,2,1.0,1.0,10,144.0,5,1125,True,0,0,4.7,True,72.0,720.0,0.07,0.12,0.16,4.99,0.0,717.7397260273973
190,895684,0.77,False,Westerpark,52.37342,4.8693,Entire home/apt,2,1.0,1.0,9,300.0,3,1125,True,0,1,4.93,False,150.0,900.0,0.05,0.24,0.24,4.99,0.5150684931506849,1500.0
191,901789,1.0,False,De Baarsjes - Oud-West,52.36897,4.85561,Entire home/apt,2,1.0,1.0,5,210.0,3,1125,True,0,0,4.89,True,105.0,630.0,0.1,0.07,0.23,4.99,0.0,755.4794520547945
192,906446,1.0,False,Buitenveldert - Zuidas,52.33229,4.87431,Private room,2,1.0,1.0,1,69.0,2,60,True,12,1,4.21,True,34.5,138.0,0.05,0.09,0.15,2.99,,
193,916096,0.9299999999999999,False,Centrum-West,52.379,4.87909,Entire home/apt,4,2.0,2.0,12,210.0,4,30,True,0,0,4.65,False,52.5,840.0,0.09,0.24,0.26,4.99,0.4410958904109589,1050.0
194,916850,0.38,False,Noord-West,52.40666,4.90344,Entire home/apt,4,2.0,4.0,9,245.0,2,30,True,1,0,4.89,False,61.25,490.0,0.09,0.19,0.25,4.99,,
195,919131,0.52,False,Zuid,52.35864,4.87632,Entire home/apt,6,3.0,4.0,13,399.0,4,30,True,0,0,4.96,False,66.5,1596.0,0.15,0.12,0.21,4.99,0.005479452054794521,1999.109589041096
196,920560,1.0,True,Watergraafsmeer,52.35448,4.93366,Private room,4,1.0,2.0,3,116.0,2,365,True,3,2,4.88,False,29.0,232.0,0.06,0.13,0.14,4.99,,
197,931270,1.0,True,Zuid,52.3395,4.84898,Entire home/apt,4,2.0,1.0,4,139.0,2,365,True,4,7,4.77,False,34.75,278.0,0.07,0.18,0.22,4.99,,
198,932227,0.9400000000000001,False,De Baarsjes - Oud-West,52.3709,4.85301,Entire home/apt,2,1.0,1.0,3,130.0,3,14,True,0,0,4.9,False,65.0,390.0,0.05,0.14,0.2,4.99,0.005479452054794521,652.1232876712329
199,933523,1.0,True,IJburg - Zeeburgereiland,52.356197,4.991435,Private room,4,1.0,2.0,7,201.0,3,60,True,1,3,4.91,False,50.25,603.0,0.11,0.18,0.28,4.99,0.0684931506849315,1018.6301369863014
200,934060,0.35000000000000003,True,Oud-Noord,52.4016,4.89785,Private room,16,1.0,16.0,22,514.0,2,1125,True,0,0,4.609999999999999,True,32.12,1028.0,0.15,0.17,0.34,10.99,,
201,937635,0.8,False,De Baarsjes - Oud-West,52.3624,4.86575,Entire home/apt,5,3.0,4.0,8,195.0,3,14,True,0,2,4.68,False,39.0,585.0,0.09,0.12,0.2,4.99,0.0,975.0
202,946142,1.0,True,Westerpark,52.37991,4.87414,Private room,2,1.0,2.0,7,95.0,3,34,True,0,3,4.8,False,47.5,285.0,0.05,0.13,0.15,4.99,0.4931506849315068,466.43835616438355
203,947437,0.87,False,Osdorp,52.35595,4.79661,Private room,2,1.0,1.0,6,85.0,2,365,True,1,1,4.86,False,42.5,170.0,0.05,0.13,0.14,4.99,,
204,951483,0.54,False,Watergraafsmeer,52.35149,4.92265,Entire home/apt,4,2.0,3.0,6,140.0,3,30,True,0,1,4.71,False,35.0,420.0,0.06,0.14,0.19,4.99,0.4520547945205479,754.5342465753424
205,954629,1.0,True,Bijlmer-Centrum,52.32019,4.95501,Private room,2,1.0,2.0,1,72.0,2,31,True,1,6,3.9699999999999998,False,36.0,144.0,0.07,0.12,0.15,2.99,,
206,954633,1.0,True,Bijlmer-Centrum,52.32019,4.95501,Private room,2,1.0,2.0,8,77.0,2,1125,True,4,4,4.85,False,38.5,154.0,0.06,0.15,0.16,4.99,,
207,957396,0.1,False,IJburg - Zeeburgereiland,52.36073,4.98005,Entire home/apt,6,3.0,5.0,16,300.0,3,365,True,0,0,4.91,False,50.0,900.0,0.1,0.23,0.18,4.99,0.42191780821917807,1500.0
208,963328,0.74,True,Centrum-West,52.36561,4.88492,Private room,2,1.0,1.0,3,96.0,3,125,True,2,9,4.81,False,48.0,288.0,0.06,0.12,0.14,4.99,0.06575342465753424,442.0
209,964986,0.14,False,De Pijp - Rivierenbuurt,52.35531,4.90333,Entire home/apt,4,2.0,3.0,16,355.0,3,365,True,0,0,5.0,False,88.75,1065.0,0.07,0.3,0.26,4.99,0.26301369863013696,1773.4931506849316
210,969862,0.79,False,Zuid,52.34176,4.84782,Private room,2,1.0,2.0,1,95.0,2,7,True,7,2,4.68,False,47.5,190.0,0.04,0.12,0.15,4.99,,
211,974240,0.7,True,Zuid,52.35049,4.84686,Private room,2,1.0,1.0,6,81.0,2,7,True,3,7,4.96,False,40.5,162.0,0.06,0.1,0.17,4.99,,
212,978852,0.6,False,De Baarsjes - Oud-West,52.37225,4.86262,Private room,2,1.0,1.0,2,32.0,28,1124,True,0,0,3.6799999999999997,True,16.0,896.0,0.1,0.09,0.13,0.99,0.0,155.35616438356163
213,982907,0.64,False,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,4,2.0,2.0,5,145.0,5,1125,True,2,0,4.78,False,36.25,725.0,0.09,0.18,0.15,4.99,0.021917808219178082,811.3013698630137
214,985155,0.33,False,Centrum-Oost,52.37042,4.91535,Entire home/apt,3,2.0,2.0,6,150.0,6,35,True,0,0,4.67,False,50.0,900.0,0.09,0.16,0.19,4.99,0.0,750.0
215,987355,0.88,False,Centrum-West,52.37486,4.89338,Shared room,2,1.0,2.0,2,83.0,2,30,True,6,4,4.53,True,41.5,166.0,0.04,0.12,0.15,4.99,,
216,989222,0.28,False,De Pijp - Rivierenbuurt,52.35082,4.8877,Entire home/apt,2,1.0,1.0,11,190.0,6,21,True,0,2,4.72,False,95.0,1140.0,0.07,0.11,0.2,4.99,0.1506849315068493,950.0
217,995087,1.0,True,Westerpark,52.381615,4.877059,Private room,2,1.0,2.0,1,73.0,3,28,True,5,5,4.51,True,36.5,219.0,0.06,0.1,0.15,2.99,0.410958904109589,404.64383561643837
218,998754,0.37,False,De Baarsjes - Oud-West,52.36728,4.85926,Entire home/apt,6,3.0,6.0,15,429.0,1,1125,True,4,2,4.16,True,71.5,429.0,0.05,0.26,0.24,10.99,,
219,1008006,0.97,False,Westerpark,52.37998,4.86959,Private room,2,1.0,1.0,5,123.0,3,30,True,2,1,4.79,False,61.5,369.0,0.05,0.17,0.2,4.99,0.7013698630136986,615.5890410958904
220,1008223,1.0,True,Slotervaart,52.36369,4.83861,Private room,2,1.0,1.0,4,67.0,2,90,True,3,6,4.0600000000000005,False,33.5,134.0,0.06,0.12,0.15,2.99,,
221,1018639,0.2,False,Centrum-Oost,52.36181,4.88783,Private room,2,1.0,2.0,7,136.0,3,1125,True,0,0,4.61,False,68.0,408.0,0.07,0.18,0.19,4.99,0.0,681.986301369863
222,1018703,1.0,True,De Pijp - Rivierenbuurt,52.35099,4.886627,Private room,2,1.0,1.0,8,108.0,3,90,True,0,2,4.72,True,54.0,324.0,0.06,0.14,0.17,4.99,0.2,619.8356164383562
223,1020477,0.64,False,Centrum-West,52.37811,4.89196,Entire home/apt,2,1.0,1.0,13,307.0,5,8,True,4,0,4.91,False,153.5,1535.0,0.13,0.24,0.16,4.99,0.03287671232876712,1723.2876712328766
224,1021538,0.5,False,Slotervaart,52.35166,4.83893,Entire home/apt,5,3.0,3.0,9,249.0,7,20,True,0,0,5.0,False,49.8,1743.0,0.1,0.24,0.19,4.99,0.12054794520547946,1245.0
225,1025482,0.84,False,Oud-Noord,52.38355,4.90951,Private room,2,1.0,1.0,7,108.0,2,60,True,4,10,4.81,True,54.0,216.0,0.07,0.12,0.15,4.99,,
226,1036888,0.09,False,Westerpark,52.38624,4.87244,Entire home/apt,2,1.0,1.0,6,148.0,3,7,True,1,0,4.81,False,74.0,444.0,0.07,0.14,0.21,4.99,0.3424657534246575,705.0
227,1038120,0.5,False,Westerpark,52.38865,4.88392,Entire home/apt,4,2.0,3.0,37,950.0,2,14,True,0,0,4.680000000000001,True,237.5,1900.0,0.08,0.24,0.34,10.99,,
